start	end	text
0	11680	¿Qué tal? ¿Cómo están? Hoy, pues, nada, después de el video que subí sobre Warner y uno,
11680	18560	pues, se ha ganado bastante conversación acerca de todo este tema y la inteligencia artificial,
18560	26120	se ve también mucha gente con miedo, obviamente, creo que bueno, pues, miedo, no hay que tenerle como
26120	32840	que era de alguno o otra manera o no, o sea, dejar de hacer música, la gente siempre va a regresar a
32840	39200	la música y hay gente que le gusta cantar, hay gente que le gusta aprender a un instrumento, que le
39200	50560	gusta X, oye, parte de la música y no creo que la inteligencia artificial realmente logre quitar
50560	55880	esas ganas, o sea, al final, todas estas son, pues, herramientas y por más que la AI puede
55880	61560	hacerte una música, no quiere decir que tú no vas a querer hacerla tú mismo, ¿no? Entonces,
61560	68440	yo creo que esto es parte de la transición, los que creo yo es parte de una transición,
68440	74080	que nadie sabemos a dónde nos va a ir a Arnaz, esa única onda con todo esto, pero al final,
74080	81320	pues no cabe duda que agiliza y potencializa en muchos casos nuestros habilidades, ¿no?
81320	90680	Ahora, por otro lado, también, realmente esto puede ser un colapso para la humanidad,
90680	98760	¿no? De cierta manera. Entonces, todo todo, yo creo que tenemos que llevarlo y hacerlo y utilizarlo
98760	105520	conscientemente y pues nada, buscando un beneficio sin creo yo pasarnos de la raya, que se va
105520	113240	a poder hacer, no, no tengo idea, quería enseñarles este vídeo que vi, que creo que espero
113240	119960	podamos llegar a ese punto y yo creo que esto sería lo mejor de los muestros y lo comentamos.
121360	125560	Plantea la posibilidad de una era post algoritmo. La revista Rolling Stone publicó un análisis
125560	128600	escrito por Sam's Eye Demand en el que advierte una transformación en la manera en que la industria
128600	132480	de la música concibe el marketing. Durante años, los artistas y las disqueras moldianos sus estrategias
132480	136000	para complacer a los algoritmos. Desde la errupción de las listas de reproducción hace una década
136000	139360	hasta la pandemia, cuando los éxitos se impulsaron a través de contenido de formato corto.
139360	142880	Sin embargo, Sam's Eye Demand señala que este modelo comienza a desgastarse, ahora que tanto
142880	146240	creadores como audiencias entienden que impulsa el algoritmo y cómo funciona el For You Page,
146240	149920	FYAP, aquello que antes parecía espontáneo se percibe como una estrategia de ventas cuidadosamente
149920	154440	planificada. El resultado. Un público cada vez más eséptico y menos conectado. De acuerdo con
154440	157800	Rolling Stone, la herramienta de marketing más poderosa en la actualidad es evitar depender de los
157800	160720	algoritmos para llegar a la audiencia, la autenticidad, al contrario de los intentos
160720	164720	borzados por viralizarse, se ha vuelto el verdadero detonante del impacto cultural. Espacios
164720	167880	como servidores de Discord o clubes de fans donde la comunidad participa activamente en la
167880	171200	trayectoria de la artista, generan conexiones mucho más orgánicas que cualquier video diseñado
171200	175000	para posicionarse. El análisis apunta a que los artistas de testa nacer suele ser precisamente
175000	178960	aquello que no nace de forma genuina. Las estrategias totalmente planeadas ya no acercan al público,
178960	182040	y hoy las personas buscan momentos en los que se sientan encontrados, no alimentados,
182040	185440	los casos de uso, fabricados y repetidos están dejando de funcionar porque ya no parece
185440	188800	auténticos. Mientras los algoritmos premian la viralidad y las impresiones masivas,
188800	192280	Saide man su bralla que lo verdaderamente valioso no es la cantidad de seguidores sino la calidad
192280	195800	de la audiencia. Las microcomunidades, aquellos grupos pequeños pero apasionados unidos por
195800	199480	gustos comunes, son ahora quienes impulsan la cultura. El informe concluye que el marketing musical
199480	203080	de 2025 no consiste en gritar más fuerte, sino en escuchar más de cerca, para avanzar la
203080	206200	industria deberá convertir sus estrategias en espacios de comunidad y conversación, no
206200	209440	en una carrera por acumular números. ¿Qué opinas sobre este artículo? Déjanos saber en
209440	210840	comentarios, dale like y comparte.
215440	225560	Bueno pues Saide man, no sé cómo se llama este tipo de Rolling Stones, que es el que hace,
225560	236920	digamos, esta investigación o este reportaje. Habla de como obviamente todo es una montaña rusa,
236920	243640	cuando a veces ahorita estamos aquí, quizás regresamos a lo mismo que había antes. Y quizá de
243640	253840	alguna manera regresamos otra vez a los discos, a los club de fans y a las ventas directas a nuestros
253840	260640	clientes directos, que son las personas que escuchan nuestra música punto. Con el tema de Spotify,
260640	269640	como pagan tampoco, tampoco regalías a los autores y a los artistas, incluso taida al día por
269640	276680	mi música, que son mucho más justos de cualquier manera, creo que pagan poco. Y pues todo esto creo
276680	285520	que va ir removiendo a los artistas y haciendo que poco a poco, tengamos menos ganas de subir las
285520	295920	cosas a Spotify y cada quien armemos nuestro propio atienda y podamos vender, pues ahora no hay
295920	302920	copias físicas, porque es otro tema. No hay un formato estándar oficial como lo he
302920	311160	decidido, lo el caset para escuchar o llevar música o grabarla, o sea está volviendo el vinilo,
311160	319520	está volviendo en algunos lados el caset, pero quizá debería dar un formato moderno donde
319520	329640	uno como artista pueda hacer el release de la música como uno quiere con el librito y el arte
329640	338440	de todo lo que llevaba a hacer un álbum, estaría padre, la verdad no sé si esto pueda regresar,
338440	347080	pero sería increíble porque realmente, así es como se hace comunidad, puedes regalarle y darles
347080	353360	a tus clientes, a tus fans, lo que tú eres como artista y lo que quizá ellos quieren recibir,
353360	362600	siento que el formato digital pues es súper frío, descargable, no tienen nada más que
362600	370160	un archivo en la computadora y no te deja coleccionar, no te deja, como que falta todo ese tema,
370160	378720	nos hemos ido todo el tiempo hacer la tecnología y cargando a pues digamos a simplificar todo y hemos
378720	388680	perdido ese romanticismo y creo que esa nostalgia regresa y quiere de nuevo poco a poco que volvamos
388680	395120	a algo parecido, quizá Spotify se queda, quizá las plataformas se quedan con la música que hay ahora,
395120	402000	su mongatálogo, que se queden con él forever y aquí en adelante no hay que ir a subir más sus
402000	407240	canciones a los catálogos, incluso las disqueras no empujan por eso pero debería, no entiendo como
407240	415440	las minuas disqueras, no tienen sus minuas plataformas para venta de incluso merchandising y
415440	422840	productos, algunas disqueras lo hacen junto con artistas grandes, pero no hay plataformas establecidas
423400	429440	de universal, por ejemplo, donde tú puedes ir y comprar un disco o comprar un vinil o comprar
429440	435840	o una plataforma, no que yo sepa, si hay por favor díganme porque la verdad yo ni en cuenta,
435840	444240	si las Apple esas falta más promoción, creo que puede regresar todo con el artazgo de la gente,
444240	452240	la vanalidad de ley hay y todos estos temas que estamos viviendo ahorita la falta de monetización para
452240	459640	los artistas, la mano remuneración para los compositores, los malos precios de producción de
459640	465920	discos para músicos y producciones y productores, etcétera, etcétera, la verdad es que todo se
465920	471720	ha ido abartando gracias a la tecnología, ahora es más fácil hacer las cosas, ahí todavía le da
471720	479520	otro escalón más arriba y pues se empieza a perder todo, quizá lleguemos a un punto próximamente,
479520	487000	espero que pronto, a un pico donde empiezamos a regresar y a tener, a utilizar toda esa
487000	493560	tecnología pero a nuestro favor, no, en nuestra contra, en nuestra contra como está un poco ahora,
493560	501600	utilizar la tecnología, pues a lo mejor un excelente formato digital, en formato de cassette, donde
501600	509080	nunca se hacía chiquito especial, pero que te sirva para el coche y que traiga, no sea lo
509080	515800	mejor, que sea descargable y que le puedas descargar las canciones de tortista favorito cada que
515800	522920	saque canciones, cuando compres es que no sé, buscarle alguna manera de tener algún formato físico
522920	533440	donde podamos ver realizados nuestros proyectos y nuestros bebés, que son las canciones y los discos
533440	540840	y que no sean solamente cosas en el aire sino que prácticamente tengan algún formato, pues nada es un
540840	549040	poco para seguir con la conversación, la verdad es que el tema de Warner y XI es un poco
549040	557280	choqueante, quién iba a esperar eso la verdad es que se me hace, se me hace, por lo pronto,
560360	566360	muy abusivo, así es que no sé, vamos a ver, vamos a ver qué sí qué pasa, pues nada,
566360	572800	gracias por escuchar, seguiremos aquí con la conversación, hasta la próxima.
581160	584760	Me gustaría recordarte que si este contenido te está sumando te suscribas a
584760	588720	Music Nopes, porque aquí hablamos de lo que realmente necesitas para crecer con
588720	594200	productor, compositor o artista independiente, aparte con tu suscripción, likes y
594200	599600	comentarios, nos ayudan muchísimo a que este canal llegue a más músicos y entusiastas de la música,
599600	604480	también quiero imitar que le eches un ojo a mi libro El arte de la producción musical disponible
604480	610040	en Amazon, ahí comparto todo lo que he aprendido en año experiencia, desde lo técnico hasta
610040	614880	lo creativo para que lleves tu sonido al siguiente nivel, y si quiere decir todavía más allá,
614880	620160	puedes unirte a mi Patreon, donde subo contenido exclusivo, plantillas, herramientas, ejercicios de
620160	625760	práctica y recursos para filar tus skills, día con día. Ahora, si quieres trabajar con
625760	630760	mío directamente, ya sea para una producción, una mezcla, consultoría o guía personalizada en
630760	636360	tu proyecto, puedes contratarme a través de Fiber o simplemente mandarme un DM por Instagram y
636360	640760	platicamos lo que necesitas. También está mi página web donde encontrará recursos para tus
640760	645800	producciones, todos los links está en la descripción del video, gracias por apoyar este espacio.
